Code,Description,Abbreviation,Grouping,Group_Colour
WP,"Parachute jumping exercise, paragliding or hang gliding",pje/paragliding/hang gliding,Aircraft Activity,#ff8000
WR,Radioactive materials or toxic chemicals (specify),radioactive materials/toxic chemicals,Hazards / Obstacles,#ff0000
WS,Burning or blowing gas,burning/blowing gas,Hazards / Obstacles,#ff0000
WT,Mass movement of aircraft,mass mov of acft,Aircraft Activity,#ff8000
WU,Unmanned aircraft,ua,Unmanned Aircraft,#ff8000
WV,Formation flight,formation flt,Aircraft Activity,#ff8000
WW,Significant volcanic activity,significant volcanic act,Hazards / Obstacles,#ff0000
WY,Aerial survey,aerial survey,Aircraft Activity,#ff8000
WZ,Model flying,model fly,Unmanned Aircraft,#ff8000
XX,Other,Other,Miscellaneous,#ff00ff
KK,Checklist,Checklist,Miscellaneous,#ff00ff
